j,k,gamma_k,p_j_gamma_k
11,4,30.424876125859512,0.00024792464968007884
11,5,32.93506158773919,0.00014863589515352486
12,1,14.134725141734696,1.7521023467600703e-05
12,2,21.02203963877156,8.233295885712746e-05
12,3,25.01085758014569,5.3190215870960224e-05
12,4,30.424876125859512,0.00011735704912907966
12,5,32.93506158773919,0.0002673875826680691
13,1,14.134725141734696,1.7350969613054226e-05
13,2,21.02203963877156,2.832829253813294e-05
13,3,25.01085758014569,7.221606433300138e-05
13,4,30.424876125859512,0.00010647095581255039
13,5,32.93506158773919,7.082840358475364e-05
14,1,14.134725141734696,9.303947257410193e-06
14,2,21.02203963877156,3.9911407853999507e-05
14,3,25.01085758014569,2.7925668963791674e-05
14,4,30.424876125859512,5.71267252816282e-05
14,5,32.93506158773919,0.00012044590118686545
15,1,14.134725141734696,9.255622650112678e-06
15,2,21.02203963877156,1.6036302364079263e-05
15,3,25.01085758014569,3.673891347185715e-05
15,4,30.424876125859512,5.357558810608617e-05
15,5,32.93506158773919,3.866796008609837e-05
16,1,14.134725141734696,5.398153472469373e-06
16,2,21.02203963877156,2.1664666687963514e-05
16,3,25.01085758014569,1.6147933250801362e-05
16,4,30.424876125859512,3.1389131455304216e-05
16,5,32.93506158773919,6.233326406506378e-05
17,1,14.134725141734696,5.383147512944493e-06
17,2,21.02203963877156,9.770102774088618e-06
17,3,25.01085758014569,2.0666699030494908e-05
17,4,30.424876125859512,2.999804056667989e-05
17,5,32.93506158773919,2.3088421894586646e-05
18,1,14.134725141734696,3.3470430478037126e-06
18,2,21.02203963877156,1.276738996734831e-05
18,3,25.01085758014569,1.0013409520475323e-05
18,4,30.424876125859512,1.876700578928135e-05
18,5,32.93506158773919,3.5531689492869926e-05
19,1,14.134725141734696,3.3423573351979223e-06
19,2,21.02203963877156,6.295921872793437e-06
19,3,25.01085758014569,1.251922123380727e-05
19,4,30.424876125859512,1.8144534124532348e-05
19,5,32.93506158773919,1.47033595026271e-05
20,1,14.134725141734696,2.1854896681913035e-06
20,2,21.02203963877156,8.009368921520768e-06
20,3,25.01085758014569,6.5493530977194045e-06
20,4,30.424876125859512,1.1945013708846494e-05
20,5,32.93506158773919,2.1752884244086373e-05
21,1,14.134725141734696,2.184237963681221e-06
21,2,21.02203963877156,4.2413289871884705e-06
21,3,25.01085758014569,8.027939920042037e-06
21,4,30.424876125859512,1.1636738479927838e-05
21,5,32.93506158773919,9.834228726052984e-06
22,1,14.134725141734696,1.487523608417375e-06
22,2,21.02203963877156,5.277801292154851e-06
22,3,25.01085758014569,4.4682573195002805e-06
22,4,30.424876125859512,7.98002870099701e-06
22,5,32.93506158773919,1.4070432458375685e-05
23,1,14.134725141734696,1.4874349491980157e-06
23,2,21.02203963877156,2.9622211015840775e-06
23,3,25.01085758014569,5.385751832576451e-06
23,4,30.424876125859512,7.814642499989006e-06
23,5,32.93506158773919,6.838029181126247e-06
24,1,14.134725141734696,1.0475504640862816e-06
24,2,21.02203963877156,3.618772918302118e-06
24,3,25.01085758014569,3.154882830175021e-06
24,4,30.424876125859512,5.541423702727146e-06
24,5,32.93506158773919,9.508116839666432e-06
25,1,14.134725141734696,1.0478292873377923e-06
25,2,21.02203963877156,2.1317689654724865e-06
25,3,25.01085758014569,3.7483842162423784e-06
25,4,30.424876125859512,5.446767440222052e-06
25,5,32.93506158773919,4.907564527031726e-06
26,1,14.134725141734696,7.590227296848922e-07
26,2,21.02203963877156,2.56391443412576e-06
26,3,25.01085758014569,2.2919945906446674e-06
26,4,30.424876125859512,3.971887914466401e-06
26,5,32.93506158773919,6.658288575106159e-06
27,1,14.134725141734696,7.593838487526839e-07
27,2,21.02203963877156,1.5734045873700664e-06
27,3,25.01085758014569,2.6895614217395154e-06
27,4,30.424876125859512,3.914746107160784e-06
27,5,32.93506158773919,3.616172892190515e-06
28,1,14.134725141734696,5.634198755655276e-07
28,2,21.02203963877156,1.8672062793612662e-06
28,3,25.01085758014569,1.705736460487792e-06
28,4,30.424876125859512,2.9232462775627732e-06
28,5,32.93506158773919,4.802837413818471e-06
29,1,14.134725141734696,5.637641669922891e-07
29,2,21.02203963877156,1.1866833707735582e-06
29,3,25.01085758014569,1.980094685244804e-06
29,4,30.424876125859512,2.8871764576540802e-06
29,5,32.93506158773919,2.7247984542500507e-06
30,1,14.134725141734696,4.270051821907036e-07
30,2,21.02203963877156,1.3920434277501189e-06
30,3,25.01085758014569,1.295932250708291e-06
30,4,30.424876125859512,2.200336292736279e-06
30,5,32.93506158773919,3.5522388163428906e-06
