n,gamma,beta_partial,energy_mean_partial,Jminus1_over_gamma
257,481.8303393762866,0.028653751066893534,0.021936491484569318,0.09364942216232464
258,482.8347827909824,0.028655235795125345,0.02193758418709832,0.09381304244061255
259,483.8514272124825,0.028656381702145024,0.021938426962075923,0.09389315183691688
260,485.539148129356,0.02865728956327156,0.0219390950327356,0.09378718307911725
261,486.5287182616513,0.028657957578444252,0.02193958719988457,0.0937589300476097
262,488.3805670900175,0.028658268833362588,0.021939817257044296,0.09347941902357453
263,489.66176157795616,0.02865854603136729,0.02194002258602242,0.09330269787823411
264,491.398821593663,0.028658765649388213,0.02194018554622499,0.09302683952651093
265,493.3144415817853,0.02866075493651142,0.021941660903064705,0.09315627375768476
266,493.9579978053695,0.028663697394766548,0.021943841617224666,0.0937616306707199
267,495.3588288221313,0.028664800580657217,0.02194465741074879,0.09376971777417849
268,496.4296962157591,0.028665223133146896,0.021944969284131352,0.09367232745519219
269,498.58078242968656,0.028665357675869526,0.021945068291990107,0.09330172606263618
270,500.3090849416905,0.028665797732460734,0.021945392002958232,0.09308950035384304
271,501.6044469651455,0.0286678489144583,0.021946902516040718,0.09336354407470267
272,502.2762703271183,0.02866934363711247,0.021948004272902187,0.0936140472037061
273,504.4997733134277,0.02867013701955196,0.021948591306206466,0.09340158891863481
274,505.4152317422444,0.028671416911579622,0.02194953962177497,0.09355584943339951
275,506.4641527095236,0.028671805926753297,0.021949828168447535,0.09346060025891896
276,508.8007003364678,0.028671967773749116,0.02194994818945642,0.0930725783915347
277,510.2642279436728,0.028672478368313277,0.021950326127299517,0.09293589905247096
278,511.5622897003746,0.02867378301407056,0.02195128968231054,0.093033783318485
279,512.6231445314074,0.028675424166986638,0.0219524996292751,0.09326190019420647
280,513.6689855554737,0.028676073895187098,0.0219529779907503,0.09323888974470783
281,515.4350571672994,0.028676215391648344,0.021953082080524607,0.09295588489121091
282,517.5896685724674,0.0286769359853609,0.021953613124609243,0.09275541618971613
283,518.2342231475501,0.02867781821228852,0.02195426392527299,0.09286865181082851
284,520.1063104117233,0.028678209435654897,0.02195455343431104,0.09263611638442382
285,521.525193449492,0.028679278351078134,0.021955345909214573,0.09266282014774886
286,522.4566961777302,0.02868030859414615,0.02195611018957905,0.09276673794252306
287,523.9605308920159,0.028680782467079526,0.02195646165084245,0.09262463083687326
288,525.0773856872796,0.028680978697029846,0.021956607030892188,0.09247913356786541
289,527.9036416012724,0.02868248897889144,0.0219577209260661,0.09238266684918689
290,528.4062138522927,0.028685156641954715,0.021959686984721137,0.09299960630353406
291,529.8062263187069,0.028686274309841872,0.021960509515544128,0.09304992889578136
292,530.866917883961,0.028686893421376675,0.02196096500973488,0.09302834478826404
293,532.6881830282937,0.028687243423586552,0.021961222831682187,0.09280350123856518
294,533.7796307537687,0.028687518609242613,0.02196142585525611,0.09268718527540859
295,535.6643140758732,0.02868770730178837,0.02196156549615601,0.09241161231234331
296,537.0697590831223,0.02868803514980424,0.0219618085432221,0.0922578212780801
297,538.4285261762479,0.02868845261165186,0.021962118227575256,0.09213738812892833
298,540.2131663762282,0.028693239167278336,0.021965665615032777,0.09312588571384198
299,540.6313902472951,0.02869864910138063,0.021969673039891436,0.0945162363535601
300,541.8474371212013,0.028698988531660127,0.021969924024721893,0.09439607707665683
301,544.3238901010053,0.02869912588649921,0.021970025208521947,0.09400399599472511
302,545.6368332489349,0.028699507130044936,0.021970305762875453,0.09388180844883343
303,547.0109120581222,0.0287004530624539,0.0219710019243691,0.0939046973998822
304,547.9316133644893,0.02870130704818707,0.021971630872183512,0.0939808703968409
305,549.4975675626614,0.02870167653280287,0.021971903571942352,0.09381455992421951
306,550.9700100394839,0.028702111527747515,0.021972225380276184,0.09368367943152785
307,552.0495722005649,0.028702405708644213,0.021972443333458675,0.09358167732296802
308,553.7649721191589,0.02870251710701433,0.021972525961137832,0.09332263327815551
309,555.7920205616825,0.028702968886712085,0.021972860723393873,0.09310782092801458
310,556.8994764068553,0.028705446060825764,0.021974693624586795,0.09361243482747555
311,557.5646591720586,0.028707324806745937,0.021976082305757573,0.09402451541379422
312,559.3162370286822,0.02870784985902616,0.021976469362000574,0.09387689960339096
313,560.2408074972957,0.028708132011341016,0.021976677139879462,0.09380101039073457
314,562.5592076160458,0.02870826951978827,0.021976778353080692,0.09345311916815824
315,564.1608791107861,0.02871143584232393,0.021979112521252942,0.09408096100961433
316,564.5060559381499,0.028714472384148815,0.021981352086176336,0.09488050740317051
317,566.698787682808,0.02871495659361641,0.021981710411470578,0.09465058613110011
318,567.7317579011769,0.028715806730558808,0.021982340339067773,0.09471969740061027
319,568.9239551796294,0.02871640328489019,0.021982782738184995,0.09469090657860027
320,570.0511147824636,0.02871659896970277,0.021982927855289804,0.09455944987440737
321,572.4199841324528,0.028716755696843208,0.0219830438114162,0.09421298749087902
322,573.6146105267582,0.02871717211583586,0.02198335133916508,0.09413620889550599
323,575.0938860144948,0.02871879854441138,0.021984549955686463,0.09436174354829015
324,575.8072471409288,0.02872055886815717,0.021985846298334562,0.09475164381204307
325,577.0390034720982,0.028720881632962526,0.02198608384503756,0.09464250950670162
326,579.0988346720366,0.028721086909630492,0.021986235080885586,0.09436530770121955
327,580.1369593623846,0.028721307844072373,0.021986398066931003,0.09426053209297813
328,581.9465762659016,0.028721516060514048,0.021986552090442986,0.09402800568522353
329,583.2360882191673,0.028721894351819672,0.021986832374131907,0.09393043013047929
330,584.5617059034655,0.02872239150807763,0.021987201039340435,0.09386273231402906
331,585.9845632049883,0.028723552032559663,0.021988061401851403,0.09397484466266601
332,586.7427718912502,0.028724469194896945,0.021988740928714213,0.09412247659836419
333,588.1396632662479,0.02872459040279045,0.021988830573374293,0.09393456977703873
334,590.6603975167653,0.02872482083944581,0.021989000393963013,0.09360174447984154
335,591.7258580650481,0.02872592678300531,0.021989814659222753,0.09376041327642226
336,592.5713583002256,0.02872694286382406,0.02199056254120149,0.09392768325561321
337,593.974714682231,0.028727280551614456,0.02199081121020864,0.09380605377050656
338,595.728153697389,0.028728020174352723,0.021991356932696774,0.09375025651932443
339,596.3627683283937,0.028728606018304043,0.02199178959280743,0.09382518082293012
